timestamp,name,symbol,price,change_24h,risk_level,message,posted
2025-02-20 15:39:02,PI,Pi,$0.9066,46.66,LOW,"🔍 Community Analysis Report for PI ($Pi)

📊 Current Status:
• Price: $0.9066
• 24h Change: 46.66%

🏥 Community Health:
• Active Users: 3
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• High volatility: 46.66% in 24h

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 15:40:53,CAKE,PancakeSwap,$2.40,1.09,LOW,"🔍 Community Analysis Report for CAKE ($PancakeSwap)

📊 Current Status:
• Price: $2.40
• 24h Change: 1.09%

🏥 Community Health:
• Active Users: 3
• Verified Users: 66.7%
• New Accounts: 33.3%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• High ratio of new accounts (>30%)

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 15:42:46,IP,Story,$3.12,24.6,LOW,"🔍 Community Analysis Report for IP ($Story)

📊 Current Status:
• Price: $3.12
• 24h Change: 24.60%

🏥 Community Health:
• Active Users: 3
• Verified Users: 66.7%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 15:45:01,,XRP,$2.69,3.62,LOW,"🔍 Community Analysis Report for  ($XRP)

📊 Current Status:
• Price: $2.69
• 24h Change: 3.62%

🏥 Community Health:
• Active Users: 4
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 17:20:05,PI,Pi,$0.8196,51.78,LOW,"🔍 Community Analysis Report for PI ($Pi)

📊 Current Status:
• Price: $0.8196
• 24h Change: 51.78%

🏥 Community Health:
• Active Users: 10
• Verified Users: 80.0%
• New Accounts: 10.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• Suspicious price movement: 51.78% in 24h

🚨 Manipulation Signals Detected:
• 1 suspicious accounts

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",False
2025-02-20 17:21:30,CAKE,PancakeSwap,$2.50,5.83,LOW,"🔍 Community Analysis Report for CAKE ($PancakeSwap)

📊 Current Status:
• Price: $2.50
• 24h Change: 5.83%

🏥 Community Health:
• Active Users: 2
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 17:23:23,IP,Story,$3.37,22.65,LOW,"🔍 Community Analysis Report for IP ($Story)

📊 Current Status:
• Price: $3.37
• 24h Change: 22.65%

🏥 Community Health:
• Active Users: 3
• Verified Users: 66.7%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 17:25:42,,XRP,$2.69,1.67,LOW,"🔍 Community Analysis Report for  ($XRP)

📊 Current Status:
• Price: $2.69
• 24h Change: 1.67%

🏥 Community Health:
• Active Users: 3
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 21:27:20,PI,Pi,$0.7181,57.75,LOW,"🔍 Community Analysis Report for PI ($Pi)

📊 Current Status:
• Price: $0.7181
• 24h Change: 57.75%

🏥 Community Health:
• Active Users: 12
• Verified Users: 91.7%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• Suspicious price movement: 57.75% in 24h

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 21:32:34,,KAITO,$1.61,38.0,LOW,"🔍 Community Analysis Report for  ($KAITO)

📊 Current Status:
• Price: $1.61
• 24h Change: 38.00%

🏥 Community Health:
• Active Users: 10
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• High volatility: 38.0% in 24h
• ⚠️ Coordinated posting patterns detected

🚨 Manipulation Signals Detected:
• Coordinated posting patterns
• Suspicious promotional language

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",False
2025-02-20 21:35:30,CAKE,PancakeSwap,$2.48,1.39,LOW,"🔍 Community Analysis Report for CAKE ($PancakeSwap)

📊 Current Status:
• Price: $2.48
• 24h Change: 1.39%

🏥 Community Health:
• Active Users: 6
• Verified Users: 100.0%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
2025-02-20 21:51:16,PI,Pi,$0.7355,56.72,LOW,"🔍 Community Analysis Report for PI ($Pi)

📊 Current Status:
• Price: $0.7355
• 24h Change: 56.72%

🏥 Community Health:
• Active Users: 11
• Verified Users: 90.9%
• New Accounts: 0.0%

⚠️ Risk Assessment:
• Risk Level: LOW

🚩 Risk Factors:
• Suspicious price movement: 56.72% in 24h

📊 Assessment: Standard caution advised - Always DYOR

💡 This is an automated analysis. Always DYOR.",True
